counts,AZ_bottom V,AZ_top V,AY V,AX V,cooling PD V
65.0,0.98,-3.21,0.15,0.025,0.01739501953125
72.0,0.98,-3.21,0.15,-0.021249999999999998,0.01495361328125
61.0,0.98,-3.21,0.15,-0.0675,0.01373291015625
79.0,0.98,-3.21,0.15,-0.11375000000000002,0.01495361328125
80.0,0.98,-3.21,0.15,-0.16,0.01373291015625
79.0,0.98,-3.21,0.15,-0.20625000000000002,0.01312255859375
74.0,0.98,-3.21,0.15,-0.2525,0.01373291015625
64.0,0.98,-3.21,0.15,-0.29875,0.01708984375
83.0,0.98,-3.21,0.15,-0.345,0.01434326171875
65.0,0.98,-3.21,0.15,-0.39125000000000004,0.01434326171875
64.0,0.98,-3.21,0.15,-0.4375,0.01373291015625
72.0,0.98,-3.21,0.15,-0.48375,0.013427734375
49.0,0.98,-3.21,0.15,-0.53,0.01312255859375
60.0,0.98,-3.21,0.15,-0.57625,0.01373291015625
68.0,0.98,-3.21,0.15,-0.6225,0.015869140625
73.0,0.98,-3.21,0.15,-0.66875,0.01373291015625
60.0,0.98,-3.21,0.15,-0.715,0.01373291015625
71.0,0.98,-3.21,0.15,-0.7612500000000001,0.01434326171875
66.0,0.98,-3.21,0.15,-0.8075000000000001,0.01495361328125
75.0,0.98,-3.21,0.15,-0.8537499999999999,0.01190185546875
60.0,0.98,-3.21,0.1025,0.025,0.0128173828125
52.0,0.98,-3.21,0.1025,-0.021249999999999998,0.0146484375
51.0,0.98,-3.21,0.1025,-0.0675,0.0140380859375
71.0,0.98,-3.21,0.1025,-0.11375000000000002,0.0115966796875
73.0,0.98,-3.21,0.1025,-0.16,0.01434326171875
76.0,0.98,-3.21,0.1025,-0.20625000000000002,0.015869140625
79.0,0.98,-3.21,0.1025,-0.2525,0.013427734375
71.0,0.98,-3.21,0.1025,-0.29875,0.01434326171875
56.0,0.98,-3.21,0.1025,-0.345,0.01251220703125
72.0,0.98,-3.21,0.1025,-0.39125000000000004,0.0146484375
44.0,0.98,-3.21,0.1025,-0.4375,0.008544921875
59.0,0.98,-3.21,0.1025,-0.48375,0.010986328125
46.0,0.98,-3.21,0.1025,-0.53,0.008544921875
47.0,0.98,-3.21,0.1025,-0.57625,0.0079345703125
50.0,0.98,-3.21,0.1025,-0.6225,0.00946044921875
47.0,0.98,-3.21,0.1025,-0.66875,0.0079345703125
52.0,0.98,-3.21,0.1025,-0.715,0.00885009765625
39.0,0.98,-3.21,0.1025,-0.7612500000000001,0.009765625
48.0,0.98,-3.21,0.1025,-0.8075000000000001,0.01007080078125
51.0,0.98,-3.21,0.1025,-0.8537499999999999,0.0103759765625
48.0,0.98,-3.21,0.05499999999999999,0.025,0.008544921875
48.0,0.98,-3.21,0.05499999999999999,-0.021249999999999998,0.0091552734375
38.0,0.98,-3.21,0.05499999999999999,-0.0675,0.0091552734375
40.0,0.98,-3.21,0.05499999999999999,-0.11375000000000002,0.01007080078125
