counts,AZ_bottom V,AZ_top V,AY V,AX V,cooling PD V
491.0,0.882,-2.882,0.15,0.025,0.04364013671875
523.0,0.882,-2.882,0.15,-0.021249999999999998,0.045166015625
516.0,0.882,-2.882,0.15,-0.0675,0.04425048828125
523.0,0.882,-2.882,0.15,-0.11375000000000002,0.04364013671875
549.0,0.882,-2.882,0.15,-0.16,0.04425048828125
483.0,0.882,-2.882,0.15,-0.20625000000000002,0.0439453125
571.0,0.882,-2.882,0.15,-0.2525,0.04364013671875
496.0,0.882,-2.882,0.15,-0.29875,0.0445556640625
537.0,0.882,-2.882,0.15,-0.345,0.04486083984375
527.0,0.882,-2.882,0.15,-0.39125000000000004,0.04364013671875
609.0,0.882,-2.882,0.15,-0.4375,0.0421142578125
482.0,0.882,-2.882,0.15,-0.48375,0.042724609375
439.0,0.882,-2.882,0.15,-0.53,0.042724609375
464.0,0.882,-2.882,0.15,-0.57625,0.042724609375
539.0,0.882,-2.882,0.15,-0.6225,0.04364013671875
503.0,0.882,-2.882,0.15,-0.66875,0.04486083984375
463.0,0.882,-2.882,0.15,-0.715,0.04364013671875
544.0,0.882,-2.882,0.15,-0.7612500000000001,0.04425048828125
528.0,0.882,-2.882,0.15,-0.8075000000000001,0.04302978515625
571.0,0.882,-2.882,0.15,-0.8537499999999999,0.04425048828125
597.0,0.882,-2.882,0.1025,0.025,0.0445556640625
587.0,0.882,-2.882,0.1025,-0.021249999999999998,0.0433349609375
537.0,0.882,-2.882,0.1025,-0.0675,0.04241943359375
565.0,0.882,-2.882,0.1025,-0.11375000000000002,0.04302978515625
560.0,0.882,-2.882,0.1025,-0.16,0.04364013671875
520.0,0.882,-2.882,0.1025,-0.20625000000000002,0.0433349609375
595.0,0.882,-2.882,0.1025,-0.2525,0.0433349609375
567.0,0.882,-2.882,0.1025,-0.29875,0.042724609375
536.0,0.882,-2.882,0.1025,-0.345,0.04302978515625
589.0,0.882,-2.882,0.1025,-0.39125000000000004,0.0421142578125
613.0,0.882,-2.882,0.1025,-0.4375,0.04150390625
