x0000,y0000
0.,0.
1.,3603.3333333333
2.,3690.
3.,3790.
4.,4153.3333333333
5.,4550.
6.,4763.3333333333
7.,5000.
8.,5243.3333333333
9.,4930.
10.,5713.3333333333
11.,5570.
12.,5606.6666666667
13.,5440.
14.,5286.6666666667
15.,5340.
16.,5360.
17.,5310.
18.,5296.6666666667
19.,5363.3333333333
20.,5603.3333333333
21.,5753.3333333333
22.,5760.
23.,5983.3333333333
24.,5936.6666666667
25.,5746.6666666667
26.,5716.6666666667
27.,5813.3333333333
28.,5653.3333333333
29.,5826.6666666667
30.,5603.3333333333
31.,5740.
32.,6063.3333333333
33.,5960.
34.,5903.3333333333
35.,6040.
36.,5706.6666666667
37.,6123.3333333333
38.,6583.3333333333
39.,6250.
40.,6366.6666666667
41.,6416.6666666667
42.,6143.3333333333
43.,6003.3333333333
44.,6310.
45.,6433.3333333333
46.,6163.3333333333
47.,5906.6666666667
48.,6163.3333333333
49.,6340.
50.,6453.3333333333
51.,6403.3333333333
52.,6603.3333333333
53.,6323.3333333333
54.,6046.6666666667
55.,6486.6666666667
56.,6380.
57.,6736.6666666667
58.,6556.6666666667
59.,7123.3333333333
60.,6720.
61.,6366.6666666667
62.,6540.
63.,6403.3333333333
64.,6416.6666666667
65.,6126.6666666667
66.,6210.
67.,5960.
68.,6286.6666666667
69.,6176.6666666667
70.,6290.
71.,6576.6666666667
72.,6776.6666666667
73.,6386.6666666667
74.,6446.6666666667
75.,6403.3333333333
76.,6723.3333333333
77.,6316.6666666667
78.,6333.3333333333
79.,6363.3333333333
80.,6216.6666666667
81.,6220.
82.,5793.3333333333
83.,5893.3333333333
84.,6280.
85.,6080.
86.,6356.6666666667
87.,6293.3333333333
88.,6376.6666666667
89.,6770.
90.,6890.
91.,7036.6666666667
92.,7216.6666666667
93.,6626.6666666667
94.,7096.6666666667
95.,6843.3333333333
96.,6476.6666666667
97.,6496.6666666667
98.,6723.3333333333
99.,6973.3333333333
100.,6950.
101.,5373.3333333333
102.,5686.6666666667
103.,6220.
104.,6436.6666666667
105.,6120.
106.,6543.3333333333
107.,6396.6666666667
108.,6343.3333333333
109.,6410.
110.,6463.3333333333
111.,6653.3333333333
112.,6620.
113.,6563.3333333333
114.,6683.3333333333
115.,7200.
116.,6806.6666666667
117.,7320.
118.,7063.3333333333
119.,6686.6666666667
120.,6796.6666666667
121.,6783.3333333333
122.,6750.
123.,7043.3333333333
124.,6683.3333333333
125.,6803.3333333333
126.,6910.
127.,6523.3333333333
128.,6880.
129.,6910.
130.,6806.6666666667
131.,7020.
132.,6790.
133.,6853.3333333333
134.,6923.3333333333
135.,7056.6666666667
136.,7050.
137.,6730.
138.,7156.6666666667
139.,6690.
140.,7023.3333333333
141.,6860.
142.,7000.
143.,7076.6666666667
144.,6663.3333333333
145.,6900.
146.,6743.3333333333
147.,6513.3333333333
148.,6950.
149.,6693.3333333333
150.,6476.6666666667
151.,6403.3333333333
152.,6693.3333333333
153.,6686.6666666667
154.,6530.
155.,6583.3333333333
156.,6286.6666666667
157.,6476.6666666667
158.,6710.
159.,6430.
160.,6886.6666666667
161.,6700.
162.,7176.6666666667
163.,6710.
164.,6626.6666666667
165.,6503.3333333333
166.,6370.
167.,6710.
168.,6846.6666666667
169.,6780.
170.,6866.6666666667
171.,7073.3333333333
172.,7366.6666666667
173.,6980.
174.,6870.
175.,6816.6666666667
176.,6523.3333333333
177.,6533.3333333333
178.,6366.6666666667
179.,6430.
180.,6146.6666666667
181.,6543.3333333333
182.,6593.3333333333
183.,6763.3333333333
184.,6876.6666666667
185.,6536.6666666667
186.,6670.
187.,6893.3333333333
188.,6273.3333333333
189.,6360.
190.,6276.6666666667
191.,6260.
192.,6553.3333333333
193.,6346.6666666667
194.,6423.3333333333
195.,6713.3333333333
196.,6593.3333333333
197.,6713.3333333333
198.,6933.3333333333
199.,6900.
200.,6506.6666666667
201.,4386.6666666667
202.,5060.
203.,5133.3333333333
204.,4990.
205.,5466.6666666667
206.,5206.6666666667
207.,5536.6666666667
208.,5876.6666666667
209.,5656.6666666667
210.,5530.
211.,5863.3333333333
212.,6090.
213.,5803.3333333333
214.,5846.6666666667
215.,5846.6666666667
216.,5820.
217.,5536.6666666667
218.,5586.6666666667
219.,5713.3333333333
220.,5536.6666666667
221.,5876.6666666667
222.,6076.6666666667
223.,5893.3333333333
224.,6110.
225.,6010.
226.,6046.6666666667
227.,6313.3333333333
228.,6220.
229.,5970.
230.,5903.3333333333
231.,6236.6666666667
232.,6046.6666666667
233.,6370.
234.,6143.3333333333
235.,6633.3333333333
236.,6346.6666666667
237.,6150.
238.,6296.6666666667
239.,6340.
240.,6450.
241.,6626.6666666667
242.,6750.
243.,6313.3333333333
244.,6453.3333333333
245.,6490.
246.,6543.3333333333
247.,6333.3333333333
248.,6476.6666666667
249.,6780.
250.,6696.6666666667
251.,6246.6666666667
252.,6840.
253.,6740.
254.,6960.
255.,6773.3333333333
256.,6490.
257.,6996.6666666667
258.,6553.3333333333
259.,6203.3333333333
260.,6400.
261.,5906.6666666667
262.,6203.3333333333
263.,6290.
264.,6363.3333333333
265.,6113.3333333333
266.,6393.3333333333
267.,6750.
268.,6483.3333333333
269.,7000.
270.,6710.
271.,6540.
272.,6876.6666666667
273.,6550.
274.,6470.
275.,6400.
276.,6750.
277.,6576.6666666667
278.,6176.6666666667
