x0000,y0000
0.,0.
1.,7.328
2.,7.782
3.,0.139
4.,-0.06
5.,5260.
6.,5683.3333333333
7.,5520.
8.,5496.6666666667
9.,5780.
10.,6106.6666666667
11.,6223.3333333333
12.,6263.3333333333
13.,6256.6666666667
14.,6486.6666666667
15.,6513.3333333333
16.,6690.
17.,6716.6666666667
18.,6243.3333333333
19.,6336.6666666667
20.,6156.6666666667
21.,6420.
22.,6283.3333333333
23.,6563.3333333333
24.,6646.6666666667
25.,6640.
26.,6553.3333333333
27.,6806.6666666667
28.,6443.3333333333
29.,6560.
30.,6270.
31.,6470.
32.,6313.3333333333
33.,6060.
34.,6216.6666666667
35.,6260.
36.,6343.3333333333
37.,6273.3333333333
38.,6740.
39.,6683.3333333333
40.,6516.6666666667
41.,6830.
42.,7013.3333333333
43.,7130.
44.,6553.3333333333
45.,6356.6666666667
46.,6696.6666666667
47.,6663.3333333333
48.,6756.6666666667
49.,6626.6666666667
50.,6646.6666666667
51.,6670.
52.,6863.3333333333
53.,6863.3333333333
54.,6796.6666666667
55.,6806.6666666667
56.,6753.3333333333
57.,6990.
58.,6816.6666666667
59.,7096.6666666667
60.,6940.
61.,6893.3333333333
62.,6953.3333333333
63.,6850.
64.,6820.
65.,7280.
66.,7070.
67.,7313.3333333333
68.,6986.6666666667
69.,6856.6666666667
70.,6896.6666666667
71.,7003.3333333333
72.,7206.6666666667
73.,7263.3333333333
74.,7086.6666666667
75.,7210.
76.,7206.6666666667
77.,7280.
78.,7423.3333333333
79.,7300.
80.,7293.3333333333
81.,7376.6666666667
82.,7360.
83.,7526.6666666667
84.,7313.3333333333
85.,7123.3333333333
86.,7616.6666666667
87.,7483.3333333333
88.,7526.6666666667
89.,7476.6666666667
90.,7900.
91.,7776.6666666667
92.,7920.
93.,7706.6666666667
94.,7613.3333333333
95.,7653.3333333333
96.,7300.
97.,7533.3333333333
98.,7556.6666666667
99.,7676.6666666667
100.,7583.3333333333
101.,7566.6666666667
102.,7630.
103.,7373.3333333333
104.,7290.
105.,7413.3333333333
106.,7636.6666666667
107.,7376.6666666667
108.,7396.6666666667
109.,7410.
110.,7540.
111.,7750.
112.,7723.3333333333
113.,7373.3333333333
114.,7586.6666666667
115.,7560.
116.,7720.
117.,7463.3333333333
118.,7470.
119.,7280.
120.,7443.3333333333
121.,7110.
122.,7553.3333333333
123.,7543.3333333333
124.,7163.3333333333
125.,7063.3333333333
126.,7110.
127.,7043.3333333333
128.,6936.6666666667
129.,7113.3333333333
130.,7296.6666666667
131.,6833.3333333333
132.,7210.
133.,7050.
134.,7086.6666666667
135.,6960.
136.,6886.6666666667
137.,7010.
138.,7160.
139.,7306.6666666667
140.,7246.6666666667
141.,7233.3333333333
142.,7103.3333333333
143.,7146.6666666667
144.,7150.
145.,6993.3333333333
146.,7143.3333333333
147.,6993.3333333333
148.,6886.6666666667
149.,6810.
150.,6796.6666666667
151.,6663.3333333333
152.,7070.
153.,6630.
154.,6896.6666666667
155.,7256.6666666667
156.,7210.
157.,6980.
158.,6803.3333333333
159.,6966.6666666667
160.,6926.6666666667
161.,6936.6666666667
162.,7010.
163.,6946.6666666667
164.,7026.6666666667
165.,7090.
166.,7103.3333333333
167.,7290.
168.,7610.
169.,7166.6666666667
170.,6996.6666666667
171.,7086.6666666667
172.,7126.6666666667
173.,7383.3333333333
174.,7390.
175.,7153.3333333333
176.,6860.
177.,7140.
178.,7150.
179.,6883.3333333333
180.,7340.
181.,7163.3333333333
182.,7310.
183.,7126.6666666667
184.,7290.
185.,7106.6666666667
186.,7216.6666666667
187.,7516.6666666667
188.,7076.6666666667
189.,6880.
190.,7126.6666666667
191.,7210.
192.,6970.
193.,7243.3333333333
194.,7236.6666666667
195.,7223.3333333333
196.,7086.6666666667
197.,7386.6666666667
198.,7253.3333333333
199.,6940.
200.,6766.6666666667
201.,6730.
202.,7070.
203.,6763.3333333333
204.,7040.
205.,5456.6666666667
206.,5786.6666666667
207.,5926.6666666667
208.,6413.3333333333
209.,6433.3333333333
210.,6636.6666666667
211.,6800.
212.,6606.6666666667
213.,6980.
214.,6666.6666666667
215.,6723.3333333333
216.,6820.
217.,7190.
218.,7093.3333333333
219.,7126.6666666667
220.,7073.3333333333
221.,7766.6666666667
222.,7196.6666666667
223.,7693.3333333333
224.,7526.6666666667
225.,7540.
226.,7726.6666666667
227.,7560.
228.,7590.
229.,7740.
230.,7606.6666666667
231.,8010.
232.,7676.6666666667
233.,8043.3333333333
234.,7693.3333333333
235.,8020.
236.,8230.
237.,7760.
238.,8403.3333333333
239.,7790.
240.,7840.
241.,7910.
242.,7830.
243.,7526.6666666667
244.,7676.6666666667
245.,8043.3333333333
246.,8120.
247.,8253.3333333333
248.,7960.
249.,7946.6666666667
250.,7573.3333333333
251.,7843.3333333333
252.,7726.6666666667
253.,7706.6666666667
254.,7826.6666666667
255.,7693.3333333333
256.,7556.6666666667
257.,7466.6666666667
258.,7533.3333333333
259.,7643.3333333333
260.,7556.6666666667
261.,7216.6666666667
262.,7553.3333333333
263.,7130.
264.,7123.3333333333
265.,7093.3333333333
266.,7243.3333333333
267.,6746.6666666667
268.,7053.3333333333
269.,6853.3333333333
270.,6796.6666666667
271.,6513.3333333333
272.,7013.3333333333
273.,7030.
274.,6876.6666666667
275.,6826.6666666667
276.,6606.6666666667
277.,7023.3333333333
278.,6933.3333333333
279.,6876.6666666667
280.,6930.
281.,6906.6666666667
282.,6520.
283.,6773.3333333333
284.,6393.3333333333
285.,6816.6666666667
286.,6483.3333333333
287.,6730.
288.,6490.
289.,6456.6666666667
290.,6770.
291.,6556.6666666667
292.,6710.
293.,6546.6666666667
294.,6853.3333333333
295.,6700.
296.,6793.3333333333
297.,6770.
298.,6746.6666666667
299.,6613.3333333333
300.,6630.
301.,6423.3333333333
302.,6376.6666666667
303.,6270.
304.,6330.
305.,6306.6666666667
306.,6573.3333333333
307.,6406.6666666667
308.,6736.6666666667
309.,6763.3333333333
310.,6810.
311.,6846.6666666667
312.,6856.6666666667
313.,6710.
314.,6746.6666666667
315.,6623.3333333333
316.,6743.3333333333
317.,6613.3333333333
318.,6650.
319.,6746.6666666667
320.,6866.6666666667
321.,6900.
322.,6913.3333333333
323.,7110.
324.,7023.3333333333
325.,6923.3333333333
326.,6863.3333333333
327.,6873.3333333333
328.,6486.6666666667
329.,6980.
330.,6723.3333333333
331.,6680.
332.,6153.3333333333
333.,6110.
334.,5803.3333333333
335.,5456.6666666667
336.,5110.
337.,5236.6666666667
338.,5160.
339.,5103.3333333333
340.,5126.6666666667
341.,5130.
342.,5380.
343.,5040.
344.,5480.
345.,4986.6666666667
346.,5080.
347.,5010.
348.,5453.3333333333
349.,5370.
350.,5073.3333333333
351.,5096.6666666667
352.,5183.3333333333
353.,5146.6666666667
354.,5013.3333333333
355.,5020.
356.,5133.3333333333
357.,4846.6666666667
358.,4933.3333333333
359.,4886.6666666667
360.,4563.3333333333
361.,4820.
362.,4876.6666666667
363.,4863.3333333333
364.,4823.3333333333
365.,4883.3333333333
366.,5043.3333333333
367.,4656.6666666667
368.,4853.3333333333
369.,4863.3333333333
370.,4846.6666666667
371.,4680.
372.,4870.
373.,4590.
374.,4453.3333333333
375.,4836.6666666667
376.,4786.6666666667
377.,4886.6666666667
378.,4826.6666666667
379.,4706.6666666667
380.,5046.6666666667
381.,4966.6666666667
382.,4946.6666666667
383.,4883.3333333333
384.,4780.
385.,4793.3333333333
386.,4610.
387.,4806.6666666667
388.,5243.3333333333
389.,4856.6666666667
390.,4913.3333333333
391.,4876.6666666667
392.,4726.6666666667
393.,4786.6666666667
394.,4590.
395.,4786.6666666667
396.,4903.3333333333
397.,4456.6666666667
398.,4546.6666666667
399.,4840.
400.,4993.3333333333
