MOT1_x,MOT1_y,MOT2_x,MOT2_y,MOT3_x,MOT3_y,MOT4_x,MOT4_y,MOT5_x,MOT5_y,MOT6_x,MOT6_y,MOT_switchyard_input_x,MOT_switchyard_input_y
0.,1.,0.,1.,0.,1.,0.,1.,0.,1.,0.,1.,0.,1.
1.,0.9634097417,1.,0.9135133731,1.,0.9700344197,1.,0.9680767449,1.,1.0089339497,1.,0.9554785651,1.,1.0013580322
2.,0.9822845459,2.,0.9520157524,2.,0.9752217696,2.,0.9592536355,2.,1.0078644084,2.,0.9784182987,2.,1.0003848952
3.,0.9780128797,3.,0.970023019,3.,0.9814465894,3.,0.9855932119,3.,1.0010906469,3.,0.9897592905,3.,1.0000929541
4.,0.9868542353,4.,0.9764203374,4.,1.0013979349,4.,0.9951948309,4.,1.0028732157,4.,0.9992960337,4.,1.0000929541
5.,0.9969870249,5.,0.9816329672,5.,0.9955721420,5.,1.0041476918,5.,1.0000211056,5.,1.0039355304,5.,0.9995090718
6.,1.0123848915,6.,1.0016542044,6.,1.0120120507,6.,0.9942865696,6.,0.9989515643,6.,1.0036777806,6.,0.9998983266
7.,0.9845693906,7.,0.9967969811,7.,0.9962903905,7.,1.0049262014,7.,0.9950299129,7.,1.0044510300,7.,1.0004822089
8.,0.9994705518,8.,0.9990478895,8.,1.0173590113,8.,1.0068724756,8.,0.9989515643,8.,1.0041932802,8.,0.9998983266
9.,0.9957949320,9.,1.0187137201,9.,1.0003604649,9.,1.017641859,9.,0.9978820230,9.,1.0070285282,9.,0.9995090718
10.,1.0017553965,10.,1.0071037719,10.,1.0039517071,10.,0.9924700471,10.,0.9953864267,10.,1.0036777806,10.,0.9998010129
11.,0.9949008624,11.,1.0053267390,11.,0.9992431896,11.,0.9992171307,11.,0.9993080781,11.,1.0000692832,11.,0.9998983266
12.,0.9933114052,12.,1.0041420504,12.,1.0033930695,12.,1.0072617304,12.,1.0007341331,12.,0.9995537835,12.,0.9998983266
13.,0.9993712107,13.,0.9977447320,13.,0.9994826057,13.,1.0210154008,13.,0.996455968,13.,1.0021312817,13.,1.0000929541
14.,1.0071198146,14.,0.9966785123,14.,1.0012383242,14.,1.0005146468,14.,1.0014471607,14.,1.0005847828,14.,0.9997036992
15.,1.0086099307,15.,1.0033127684,15.,1.0027546264,15.,0.9962328437,15.,0.9993080781,15.,1.0000692832,15.,0.999119817
16.,1.0010600090,16.,0.9903996628,16.,0.9936568129,16.,1.0080402400,16.,0.9978820230,16.,1.0011002824,16.,0.999119817
17.,1.0046362877,17.,0.9946645417,17.,1.0065054794,17.,1.0080402400,17.,0.9978820230,17.,0.9995537835,17.,0.9989251896
18.,0.9898344676,18.,1.0111317131,18.,0.9981259143,18.,0.9922105439,18.,1.0003776194,18.,0.9995537835,18.,0.9995090718
19.,0.9994705518,19.,1.0170551561,19.,0.9988441627,19.,1.0158253365,19.,1.0000211056,19.,1.000327033,19.,1.0005795226
20.,0.9975830714,20.,1.0027204241,20.,1.0023555995,20.,1.0020716661,20.,0.9975255093,20.,1.000327033,20.,0.9996063855
21.,0.9961922963,21.,0.9981001386,21.,0.9990835788,21.,1.0173823558,21.,0.9993080781,21.,0.9995537835,21.,0.9993144444
22.,1.01963679,22.,1.0360101735,22.,1.0024354049,22.,0.9970113534,22.,0.9946733992,22.,1.0121835245,22.,0.999119817
23.,1.0219216347,23.,1.0284281665,23.,1.0096976947,23.,1.0230914265,23.,0.9907517478,23.,1.0096060263,23.,1.0000929541
24.,1.0125835737,24.,1.0266511337,24.,0.9990037735,24.,1.0259459619,24.,0.9953864267,24.,1.0054820293,24.,0.9996063855
25.,1.0122855504,25.,1.0191875955,25.,0.9958115582,25.,1.0099865141,25.,0.9960994542,25.,1.0005847828,25.,0.9992171307
26.,1.0065237681,26.,1.0157519986,26.,1.0090592516,26.,1.0227021717,26.,0.9978820230,26.,0.9962030359,26.,0.9998010129
27.,1.0125835737,27.,1.0193060644,27.,1.0114534131,27.,0.9924700471,27.,0.9971689955,27.,1.0008425326,27.,0.9992171307
28.,0.9989738464,28.,1.0059190833,28.,1.0014777403,28.,1.0247781974,28.,0.9993080781,28.,1.0029045311,28.,0.9992171307
29.,1.0043382645,29.,1.0029573618,29.,1.0078621709,29.,1.0224426685,29.,0.9982385368,29.,0.9995537835,29.,1.0005795226
30.,0.9906291962,30.,1.0101839622,30.,1.0050689825,30.,0.9972708566,30.,1.0003776194,30.,1.000327033,30.,1.00077415
31.,0.9966890017,31.,0.9947830105,31.,1.0033930695,31.,1.0042774434,31.,0.9982385368,31.,0.9972340352,31.,0.9998010129
32.,1.0110934575,32.,1.0081699916,32.,1.0115332184,32.,1.0088187497,32.,0.9968124817,32.,1.0011002824,32.,0.9997036992
33.,0.9873509407,33.,0.9937167908,33.,1.0012383242,33.,1.0010336532,33.,0.9993080781,33.,1.0018735319,33.,0.9992171307
34.,1.0053316752,34.,1.0054452079,34.,0.9973278604,34.,0.9730073059,34.,0.9950299129,34.,0.9985227843,34.,1.0004822089
35.,0.9965896606,35.,0.993598322,35.,0.9879906307,35.,0.9989576275,35.,0.9982385368,35.,0.9985227843,35.,0.9996063855
36.,1.002351443,36.,0.9977447320,36.,1.0066650901,36.,0.9951948309,36.,0.996455968,36.,0.9992960337,36.,1.0001902678
37.,1.0047356288,37.,1.0074591785,37.,0.9915020675,37.,0.9983088694,37.,0.9975255093,37.,1.0008425326,37.,0.9990225033
38.,0.9921193123,38.,1.0026019552,38.,0.9957317528,38.,0.9831279313,38.,1.0000211056,38.,0.9985227843,38.,0.9998010129
39.,0.9931127230,39.,0.9939537285,39.,1.0079419763,39.,1.0031096789,39.,1.0007341331,39.,0.9951720367,39.,0.9990225033
